seed,n_active,tail_burden_concentration_targeted,tail_burden_concentration_random,tail_burden_concentration_diff
42,5,1.6630269172168612,1.756335282651072,-0.09330836543421084
42,10,1.5566283740926068,2.3901975683890577,-0.8335691942964509
42,20,1.5090807488125173,1.5852272727272727,-0.0761465239147554
43,5,1.5836615609044495,1.6806643685365088,-0.09700280763205926
43,10,1.5049948329314504,1.5549927641099854,-0.049997931178535016
43,20,1.4968513119533529,1.5708263069139967,-0.07397499496064386
44,5,1.6640746500777606,1.913290113452188,-0.24921546337442746
44,10,1.5640481245576785,1.6844232182218957,-0.12037509366421717
44,20,1.4462343938783728,1.6133828996282529,-0.16714850574988005
45,5,1.5920999890682506,1.7827382074582407,-0.19063821838999018
45,10,1.23452566096423,1.4649002064693737,-0.23037454550514358
45,20,1.4917960088691795,1.750206440957886,-0.2584104320887064
46,5,2.0928451178451177,1.745706737120211,0.34713838072490666
46,10,1.7196738022426097,1.1580745341614906,0.561599268081119
46,20,1.2176470588235293,1.5911392405063292,-0.37349218168279985
